ClimateZoneAnd,UD,n_profile,n_site,n_rel,median_c,lci_c,uci_c,Derivative_1,Derivative_2
volcanic soils,77,46,15,70.76923076923077,8.687707827496126,7.334775136533439,9.98445209974844,-0.015091489254603019,0.002450723063795124
volcanic soils,78,46,15,70.76923076923077,8.666577939748734,7.2874864805324755,9.952912600583176,-0.013176706093644297,0.0024680975834181496
volcanic soils,79,45,15,69.23076923076923,8.592343551529007,7.151856859829237,9.859685850044375,-0.014424731217595799,0.0024507230637969
volcanic soils,80,41,15,63.07692307692308,8.46911988733656,6.9082048608056095,9.86687425064612,-0.013050947292110093,0.002146278000869195
volcanic soils,81,39,14,60,8.568746553279585,6.962753311525837,9.87591032519336,-0.011677163366625498,0.0022985005323330476
volcanic soils,82,39,14,60,8.52723472990641,6.941995906490785,9.863438357653683,-0.010197869363743894,0.0024507230637986765
volcanic soils,83,38,13,58.46153846153846,8.422279774646844,6.8243737363970265,9.820105862862182,-0.00892959551565431,0.0024507230637969
volcanic soils,84,37,13,56.92307692307692,8.25080607301133,6.685218131092279,9.643951296401926,-0.008577530723288262,0.0024507230637969
volcanic soils,85,37,13,56.92307692307692,8.254904424922012,6.71297117156916,9.633074263026852,-0.007128084174929938,0.0024361970022610535
volcanic soils,86,33,12,50.76923076923077,8.25865637764099,6.58220802811227,9.660064388224553,-0.00527811937052558,0.0016979788138193896
volcanic soils,87,31,12,47.69230769230769,8.013533748832819,6.364964347081436,9.521316758536308,-0.004138394424719749,0.0015358813696468854
volcanic soils,88,29,12,44.61538461538461,7.742903535597398,6.086593394508693,9.392875460308966,-0.0028776184288572537,-3.379026343699465e-4
volcanic soils,89,24,11,36.92307692307692,7.369938782896964,5.605416830181057,9.343623564068093,-5.798176835574154e-4,0.0019948677898025124
volcanic soils,90,20,10,30.76923076923077,7.397891099279012,5.243905765305241,9.745614346352657,-0.006003254278553527,-0.0015919644076731743
volcanic soils,91,15,9,23.076923076923077,7.354835133759385,4.650951710971684,10.039452113873796,0.013416660976233175,-0.002712648057582978
volcanic soils,92,11,8,16.923076923076923,7.299920926341738,3.323330369794525,11.675866407787858,0.009140938756438732,-3.575611105055554e-4
volcanic soils,93,10,7,15.384615384615385,7.449859373166365,3.3483296931941418,12.07763825429962,-4.131594193598209e-4,8.768421866611753e-4
volcanic soils,94,8,6,12.307692307692308,6.950667744268495,1.749668789194595,12.72180189147388,-0.005699474213300748,0.0015189963732833434
volcanic soils,95,7,5,10.76923076923077,6.942217729603312,1.1727408151645116,12.734855647600773,-0.005273785525314628,5.073962622946238e-4
volcanic soils,96,6,5,9.23076923076923,6.034880275053283,0.49277160225622973,13.819399396580716,-0.004766389263020004,8.768421866611753e-4
volcanic soils,97,6,5,9.23076923076923,6.041298529705038,0.4871846135701668,13.767188506148331,-0.0054490383481354265,8.768421866616194e-4
volcanic soils,98,5,5,7.6923076923076925,3.332094448627636,0.48173557522203136,13.720473498919354,-0.0053110880102079094,8.768421866618414e-4
volcanic soils,99,5,5,7.6923076923076925,3.344403335630063,0.47642448721182346,13.679254374893786,-0.005173137672280503,NA
volcanic soils,100,5,5,7.6923076923076925,3.3605726894156467,0.47125134953954295,13.643531134071628,NA,NA
tundra/polar,1,23,17,85.18518518518519,4.179577103502002,2.9538572811177106,6.601398889082649,-0.0032711079033436175,-0.006542215806687013
tundra/polar,2,23,17,85.18518518518519,4.182541763531583,2.9485570972749664,6.598860748923178,-0.00981332371003063,-0.006542215806687013
tundra/polar,3,23,17,85.18518518518519,4.166503010000337,2.9286780518668585,6.591246328444764,-0.016355539516717643,-0.005217820408509599
tundra/polar,4,23,17,85.18518518518519,4.136440987390699,2.8888663713835334,6.5785556276474075,-0.022897755323404878,-0.005217820408510043
tundra/polar,5,23,17,85.18518518518519,4.135898801787825,2.8831414260880655,6.540512602243519,-0.02943997113009167,-0.0020849498327757954
tundra/polar,6,24,18,88.88888888888889,4.080561226160285,2.9151011781911094,5.738710362352812,-0.032340099591791516,-0.0012243513340127465
tundra/polar,7,24,18,88.88888888888889,4.04929673271214,2.8806848832050704,5.823741705296685,-0.04645388077582813,-0.00122435133401258
