"MAT","Longitude","Latitude","MAP","PET","ClimateZone","dataset"
18.7999992370605,-5.47083333333333,34.4375,612,1833,"warm temperate","global"
26.3500003814697,-3.6875,7.41250000000002,1088,1605,"tropical","global"
15.2708330154419,56.3958333333333,39.9625,140,1949,"arid","global"
3.02083325386047,-102.595833333333,49.4291666666667,450,1006,"cold temperate","global"
14.3291664123535,-8.08750000000001,41.2958333333334,1291,1236,"warm temperate","global"
-12.3833332061768,94.2708333333333,71.5875,327,365,"cold temperate","global"
28.1333332061768,46.1708333333333,5.46250000000003,249,2574,"arid","global"
-13.5041666030884,94.6291666666667,73.7958333333334,260,307,"tundra/polar","global"
-3.87083339691162,86.8541666666667,61.4375,597,634,"cold temperate","global"
-0.20833332836628,85.5541666666667,57.4041666666667,502,770,"cold temperate","global"
-16.4249992370605,-24.0041666666667,80.6541666666667,179,241,"tundra/polar","global"
